light_cozie,noise_cozie,user_id,room,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,user_grouped_cooler,user_grouped_warmer,user_grouped_dimmer,user_grouped_brighter,user_grouped_quieter,user_grouped_louder,room_grouped_cooler,room_grouped_warmer,room_grouped_dimmer,room_grouped_brighter,room_grouped_quieter,room_grouped_louder,thermal_cozie
11.0,10.0,cresh28,IRC_LIBRARY_1,-0.8433914458128855,-0.5372996083468242,0.7818314824680297,0.6234898018587336,0.5666666666666667,0.06666666666666668,0.1,0.0,0.4,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,9.0
11.0,10.0,cresh28,IRC_LIBRARY_1,-0.8767267557075077,-0.4809887689193877,0.7818314824680297,0.6234898018587336,0.5666666666666667,0.06666666666666668,0.1,0.0,0.4,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,9.0
11.0,10.0,cresh28,IRC_LIBRARY_1,-0.9351352096860116,-0.3542910379977157,0.7818314824680297,0.6234898018587336,0.5666666666666667,0.06666666666666668,0.1,0.0,0.4,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,10.0
10.0,10.0,cresh28,GIS_LAB,-0.4617486132350338,-0.8870108331782218,0.43388373911755823,-0.9009688679024191,0.5666666666666667,0.06666666666666668,0.1,0.0,0.4,0.0,0.515625,0.03125,0.03125,0.078125,0.296875,0.0,10.0
10.0,11.0,cresh28,GIS_LAB,-0.5336145159156115,-0.8457278217039732,0.43388373911755823,-0.9009688679024191,0.5666666666666667,0.06666666666666668,0.1,0.0,0.4,0.0,0.515625,0.03125,0.03125,0.078125,0.296875,0.0,11.0
10.0,11.0,cresh28,GIS_LAB,-0.5913096483635824,-0.8064446042674825,0.43388373911755823,-0.9009688679024191,0.5666666666666667,0.06666666666666668,0.1,0.0,0.4,0.0,0.515625,0.03125,0.03125,0.078125,0.296875,0.0,11.0
10.0,11.0,cresh28,GIS_LAB,-0.6394390019805846,-0.7688418320734597,0.43388373911755823,-0.9009688679024191,0.5666666666666667,0.06666666666666668,0.1,0.0,0.4,0.0,0.515625,0.03125,0.03125,0.078125,0.296875,0.0,10.0
10.0,11.0,cresh28,GIS_LAB,-0.7489557207890021,-0.6626200482157375,0.43388373911755823,-0.9009688679024191,0.5666666666666667,0.06666666666666668,0.1,0.0,0.4,0.0,0.515625,0.03125,0.03125,0.078125,0.296875,0.0,11.0
10.0,11.0,cresh28,GIS_LAB,-0.7960020025346222,-0.6052939880428941,0.43388373911755823,-0.9009688679024191,0.5666666666666667,0.06666666666666668,0.1,0.0,0.4,0.0,0.515625,0.03125,0.03125,0.078125,0.296875,0.0,11.0
10.0,10.0,cresh28,GIS_LAB,-0.8638355052043956,-0.5037739770455265,0.43388373911755823,-0.9009688679024191,0.5666666666666667,0.06666666666666668,0.1,0.0,0.4,0.0,0.515625,0.03125,0.03125,0.078125,0.296875,0.0,11.0
10.0,11.0,cresh28,GIS_LAB,-0.8968727415326883,-0.44228869021900136,0.43388373911755823,-0.9009688679024191,0.5666666666666667,0.06666666666666668,0.1,0.0,0.4,0.0,0.515625,0.03125,0.03125,0.078125,0.296875,0.0,11.0
10.0,11.0,cresh28,GIS_LAB,-0.9238795325112868,-0.3826834323650895,0.43388373911755823,-0.9009688679024191,0.5666666666666667,0.06666666666666668,0.1,0.0,0.4,0.0,0.515625,0.03125,0.03125,0.078125,0.296875,0.0,11.0
10.0,10.0,cresh28,EXECUTIVE_SEMINAR_ROOM_A,-0.9523957996432784,-0.3048642990280112,0.43388373911755823,-0.9009688679024191,0.5666666666666667,0.06666666666666668,0.1,0.0,0.4,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
10.0,10.0,cresh28,EXECUTIVE_SEMINAR_ROOM_A,-0.9702957262759964,-0.2419218955996678,0.43388373911755823,-0.9009688679024191,0.5666666666666667,0.06666666666666668,0.1,0.0,0.4,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
10.0,10.0,cresh28,EXECUTIVE_SEMINAR_ROOM_A,-0.9799247046208296,-0.19936793441719733,0.43388373911755823,-0.9009688679024191,0.5666666666666667,0.06666666666666668,0.1,0.0,0.4,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,11.0
10.0,10.0,cresh28,EXECUTIVE_SEMINAR_ROOM_A,-0.9999904807207344,0.004363309284746116,0.43388373911755823,-0.9009688679024191,0.5666666666666667,0.06666666666666668,0.1,0.0,0.4,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
10.0,11.0,cresh28,CAFE,-0.1779435454738416,-0.9840406976462908,0.7818314824680297,0.6234898018587336,0.5666666666666667,0.06666666666666668,0.1,0.0,0.4,0.0,0.273972602739726,0.0,0.0273972602739726,0.3561643835616438,0.2465753424657534,0.0,11.0
10.0,11.0,cresh28,CAFE,-0.2419218955996675,-0.9702957262759964,0.7818314824680297,0.6234898018587336,0.5666666666666667,0.06666666666666668,0.1,0.0,0.4,0.0,0.273972602739726,0.0,0.0273972602739726,0.3561643835616438,0.2465753424657534,0.0,11.0
