heartRate_cozie,light_cozie,noise_cozie,user_id,room,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,user_grouped_cooler,user_grouped_warmer,user_grouped_dimmer,user_grouped_brighter,user_grouped_quieter,user_grouped_louder,room_grouped_cooler,room_grouped_warmer,room_grouped_dimmer,room_grouped_brighter,room_grouped_quieter,room_grouped_louder,thermal_cozie
94.0,10.0,10.0,cresh30,4.0,54.2778,63.0,44.0,24.2986,26.375,-0.25038000405444155,-0.9681476403781076,0.0,1.0,0.1875,0.125,0.125,0.0625,0.3125,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,10.0
98.0,10.0,10.0,cresh30,4.0,54.6392,66.0,46.0,24.0206,28.25,-0.3131638064837496,-0.9496991262018771,0.0,1.0,0.1875,0.125,0.125,0.0625,0.3125,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,11.0
106.0,9.0,11.0,cresh30,10.0,58.4921,76.0,53.0,27.4205,28.25,-0.3947438563842672,-0.9187912101488984,0.0,1.0,0.1875,0.125,0.125,0.0625,0.3125,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0,11.0
86.0,9.0,11.0,cresh30,10.0,59.115,89.0,50.0,27.2426,28.75,-0.6327053285625159,-0.7743926440821857,0.0,1.0,0.1875,0.125,0.125,0.0625,0.3125,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0,10.0
75.0,10.0,11.0,cresh30,10.0,59.0043,76.0,53.0,27.5237,29.125,-0.7193398003386512,-0.6946583704589973,0.0,1.0,0.1875,0.125,0.125,0.0625,0.3125,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0,10.0
84.0,10.0,11.0,cresh30,10.0,58.5432,78.0,53.0,27.7017,29.125,-0.7460573750616994,-0.6658816660008344,0.0,1.0,0.1875,0.125,0.125,0.0625,0.3125,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0,10.0
76.0,10.0,10.0,cresh30,10.0,57.7281,74.0,50.0,27.6869,28.5,-0.8549118706729466,-0.5187732581605214,0.0,1.0,0.1875,0.125,0.125,0.0625,0.3125,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0,10.0
87.0,10.0,11.0,cresh30,10.0,57.486000000000004,74.0,57.0,27.6869,28.125,-0.8788171126619653,-0.4771587602596087,0.0,1.0,0.1875,0.125,0.125,0.0625,0.3125,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0,10.0
71.0,10.0,11.0,cresh30,10.0,57.4665,81.0,49.0,27.6869,28.75,-0.9335804264972016,-0.3583679495453007,0.0,1.0,0.1875,0.125,0.125,0.0625,0.3125,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0,10.0
91.0,10.0,10.0,cresh30,10.0,57.3291,70.0,52.0,27.7322,28.125,-0.9523957996432784,-0.3048642990280112,0.0,1.0,0.1875,0.125,0.125,0.0625,0.3125,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0,9.0
64.0,11.0,10.0,cresh30,10.0,57.3108,71.0,52.0,27.6564,28.25,-0.9723699203976768,-0.2334453638559052,0.0,1.0,0.1875,0.125,0.125,0.0625,0.3125,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0,10.0
67.0,10.0,10.0,cresh30,10.0,57.3497,69.0,49.0,27.6869,28.5,-0.9790454724845838,-0.20364175114017732,0.0,1.0,0.1875,0.125,0.125,0.0625,0.3125,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0,10.0
68.0,10.0,10.0,cresh30,10.0,57.0663,65.0,56.0,27.7153,28.125,-0.9993908270190958,-0.034899496702500754,0.0,1.0,0.1875,0.125,0.125,0.0625,0.3125,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0,10.0
91.0,10.0,10.0,cresh30,10.0,65.7479,61.0,58.0,27.7459,28.875,-0.7223639620597555,0.6915130557822695,0.0,1.0,0.1875,0.125,0.125,0.0625,0.3125,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0,11.0
84.0,10.0,11.0,cresh30,10.0,70.7797,60.0,47.0,28.2071,29.125,-0.38671096163682095,0.9222009716704516,0.0,1.0,0.1875,0.125,0.125,0.0625,0.3125,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0,11.0
74.0,11.0,11.0,cresh30,10.0,73.4026,61.0,50.0,28.2808,29.125,-0.13485093027372286,0.9908658973868822,0.0,1.0,0.1875,0.125,0.125,0.0625,0.3125,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0,9.0
74.0,11.0,10.0,cresh30,10.0,74.1545,62.0,45.0,28.2071,28.0,0.5037739770455263,0.8638355052043957,0.7818314824680297,0.6234898018587336,0.1875,0.125,0.125,0.0625,0.3125,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0,11.0
