light_cozie,noise_cozie,user_id,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,thermal_cozie
10.0,10.0,cresh07,54.3496,74.0,46.0,23.750999999999998,-0.34202014332566866,-0.9396926207859084,-0.433883739117558,-0.9009688679024191,10.0
10.0,10.0,cresh07,54.4616,71.0,46.0,23.6015,-0.3826834323650897,-0.9238795325112868,-0.433883739117558,-0.9009688679024191,10.0
10.0,10.0,cresh07,54.8265,73.0,47.0,23.5289,-0.4656145203251114,-0.8849876374630419,-0.433883739117558,-0.9009688679024191,10.0
10.0,10.0,cresh07,55.1793,65.0,47.0,23.6605,-0.5150380749100542,-0.8571673007021123,-0.433883739117558,-0.9009688679024191,10.0
11.0,11.0,cresh07,78.8651,159.0,65.0,27.6248,-0.6259234721840591,-0.7798844830928818,-0.433883739117558,-0.9009688679024191,11.0
11.0,11.0,cresh07,66.6834,50.0,46.0,26.6077,-0.6723668074346679,-0.7402181274868322,-0.433883739117558,-0.9009688679024191,11.0
11.0,11.0,cresh07,74.8613,254.0,65.0,28.5472,-0.740218127486832,-0.6723668074346681,-0.433883739117558,-0.9009688679024191,11.0
10.0,10.0,cresh07,67.7479,55.0,51.0,26.2949,-0.8480480961564258,-0.529919264233205,-0.433883739117558,-0.9009688679024191,10.0
10.0,10.0,cresh07,67.6603,74.0,46.0,26.0728,-0.9381913359224839,-0.3461170570774933,-0.433883739117558,-0.9009688679024191,11.0
10.0,10.0,cresh07,78.3955,1294.0,51.0,26.3686,-0.9081431738250816,0.41865973753742775,0.7818314824680297,0.6234898018587336,10.0
10.0,10.0,cresh07,64.9765,172.0,51.0,27.9175,-0.8141155183563191,0.5807029557109399,0.7818314824680297,0.6234898018587336,11.0
10.0,10.0,cresh07,65.99,172.0,48.0,27.9007,-0.7826081568524141,0.6225146366376193,0.7818314824680297,0.6234898018587336,10.0
10.0,10.0,cresh07,66.8513,172.0,48.0,27.9007,-0.740218127486832,0.6723668074346681,0.7818314824680297,0.6234898018587336,10.0
10.0,10.0,cresh07,81.9273,132.0,64.0,27.8638,0.4809887689193876,-0.8767267557075078,0.9749279121818236,-0.22252093395631434,10.0
9.0,11.0,cresh07,81.9455,120.0,68.0,28.205,0.4226182617406995,-0.90630778703665,0.9749279121818236,-0.22252093395631434,10.0
9.0,11.0,cresh07,80.1803,123.0,65.0,28.4545,0.36243803828370175,-0.9320078692827984,0.9749279121818236,-0.22252093395631434,10.0
9.0,11.0,cresh07,72.0935,65.0,64.0,27.3501,0.3007057995042733,-0.9537169507482268,0.9749279121818236,-0.22252093395631434,10.0
9.0,10.0,cresh07,70.4165,77.0,65.0,27.6318,0.2334453638559055,-0.9723699203976766,0.9749279121818236,-0.22252093395631434,10.0
9.0,11.0,cresh07,71.65100000000002,83.0,64.0,27.5869,0.1822355254921477,-0.9832549075639544,0.9749279121818236,-0.22252093395631434,10.0
9.0,10.0,cresh07,72.6836,178.0,65.0,29.259,0.04361938736533608,-0.9990482215818578,0.9749279121818236,-0.22252093395631434,10.0
9.0,11.0,cresh07,67.801,89.0,67.0,28.5872,-0.026176948307873173,-0.9996573249755571,0.9749279121818236,-0.22252093395631434,10.0
9.0,11.0,cresh07,69.9475,210.0,64.0,29.5232,-0.056692787563377416,-0.9983916705573488,0.9749279121818236,-0.22252093395631434,10.0
9.0,10.0,cresh07,69.4304,89.0,67.0,28.6894,-0.13917310096006552,-0.9902680687415704,0.9749279121818236,-0.22252093395631434,10.0
9.0,10.0,cresh07,68.5574,98.0,68.0,28.5559,-0.19080899537654475,-0.9816271834476641,0.9749279121818236,-0.22252093395631434,10.0
9.0,10.0,cresh07,85.6987,145.0,66.0,27.9996,-0.26303121445797456,-0.9647873238288129,0.9749279121818236,-0.22252093395631434,10.0
10.0,10.0,cresh07,68.282,53.0,47.0,25.9864,-0.3987490689252463,-0.917060074385124,0.9749279121818236,-0.22252093395631434,10.0
10.0,10.0,cresh07,83.84700000000002,46.0,45.0,25.3059,-0.15212338618991686,-0.9883615104677608,-0.433883739117558,-0.9009688679024191,10.0
10.0,10.0,cresh07,80.7284,44.0,46.0,24.8073,-0.1693495038490246,-0.9855560590580776,-0.433883739117558,-0.9009688679024191,10.0
