heartRate_cozie,light_cozie,noise_cozie,thermal_cozie,user_id,room,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,user_grouped_cooler,user_grouped_warmer,user_grouped_dimmer,user_grouped_brighter,user_grouped_quieter,user_grouped_louder,room_grouped_cooler,room_grouped_warmer,room_grouped_dimmer,room_grouped_brighter,room_grouped_quieter,room_grouped_louder
84.0,10.0,10.0,10.0,cresh08,3.0,67.7698,65.0,46.0,26.1633,31.5,-0.788010753606722,-0.6156614753256582,-0.433883739117558,-0.9009688679024191,0.1,0.0,0.075,0.0,0.2,0.0,0.21428571428571427,0.0,0.03571428571428571,0.39285714285714285,0.10714285714285714,0.0
66.0,10.0,10.0,11.0,cresh12,4.0,53.1136,64.0,44.0,24.1975,28.125,-0.7906895737438433,-0.6122172800344493,-0.433883739117558,-0.9009688679024191,0.56,0.06,0.02,0.1,0.2,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
82.0,11.0,10.0,11.0,cresh12,4.0,53.453,63.0,45.0,24.5355,27.75,-0.8338858220671681,-0.5519369853120584,-0.433883739117558,-0.9009688679024191,0.56,0.06,0.02,0.1,0.2,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
86.0,10.0,10.0,11.0,cresh09,0.0,54.4311,198.0,44.0,24.4733,29.125,-0.8362861558477592,-0.5482932295199142,-0.433883739117558,-0.9009688679024191,0.47058823529411764,0.0196078431372549,0.0196078431372549,0.13725490196078433,0.0392156862745098,0.0,0.3333333333333333,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0
87.0,10.0,11.0,10.0,cresh08,7.0,61.7733,398.0,49.0,26.9193,31.25,-0.8480480961564258,-0.529919264233205,-0.433883739117558,-0.9009688679024191,0.1,0.0,0.075,0.0,0.2,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0
88.0,10.0,10.0,10.0,cresh07,3.0,67.7479,55.0,51.0,26.2949,30.75,-0.8480480961564258,-0.529919264233205,-0.433883739117558,-0.9009688679024191,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148937,0.2127659574468085,0.0,0.21428571428571427,0.0,0.03571428571428571,0.39285714285714285,0.10714285714285714,0.0
96.0,10.0,10.0,11.0,cresh09,0.0,55.2353,188.0,47.0,24.8166,29.5,-0.8638355052043956,-0.5037739770455265,-0.433883739117558,-0.9009688679024191,0.47058823529411764,0.0196078431372549,0.0196078431372549,0.13725490196078433,0.0392156862745098,0.0,0.3333333333333333,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0
62.0,10.0,10.0,11.0,cresh12,4.0,54.0601,63.0,45.0,24.3301,27.625,-0.8681988144891424,-0.4962165036752081,-0.433883739117558,-0.9009688679024191,0.56,0.06,0.02,0.1,0.2,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
109.0,10.0,10.0,10.0,cresh08,4.0,54.0138,62.0,45.0,24.5944,29.25,-0.9025852843498606,-0.43051109680829514,-0.433883739117558,-0.9009688679024191,0.1,0.0,0.075,0.0,0.2,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
66.0,10.0,10.0,11.0,cresh12,0.0,55.2621,171.0,42.0,24.0911,27.625,-0.9063077870366502,-0.4226182617406991,-0.433883739117558,-0.9009688679024191,0.56,0.06,0.02,0.1,0.2,0.0,0.3333333333333333,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0
66.0,10.0,10.0,11.0,cresh12,0.0,54.3764,165.0,42.0,23.7173,27.5,-0.9288095528719243,-0.3705574375098359,-0.433883739117558,-0.9009688679024191,0.56,0.06,0.02,0.1,0.2,0.0,0.3333333333333333,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0
85.0,10.0,10.0,11.0,cresh07,3.0,67.6603,74.0,46.0,26.0728,30.375,-0.938191335922484,-0.34611705707749335,-0.433883739117558,-0.9009688679024191,0.10638297872340426,0.0425531914893617,0.06382978723404255,0.23404255319148937,0.2127659574468085,0.0,0.21428571428571427,0.0,0.03571428571428571,0.39285714285714285,0.10714285714285714,0.0
69.0,9.0,11.0,11.0,cresh06,4.0,55.6757,66.0,44.0,23.4109,23.875,0.7193398003386511,-0.6946583704589974,0.0,1.0,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
72.0,9.0,11.0,11.0,cresh06,4.0,56.2305,67.0,46.0,23.5425,28.0,0.6461239796429638,-0.7632324697825289,0.0,1.0,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
74.0,9.0,11.0,11.0,cresh06,4.0,56.5419,69.0,46.0,23.5878,27.875,0.6052939880428945,-0.796002002534622,0.0,1.0,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
64.0,10.0,11.0,10.0,cresh02,4.0,56.5979,66.0,45.0,23.6605,26.5,0.5948227867513413,-0.8038568606172174,0.0,1.0,0.6949152542372882,0.13559322033898305,0.3559322033898305,0.22033898305084745,0.3559322033898305,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
68.0,10.0,10.0,10.0,cresh13,4.0,55.6185,77.0,47.0,23.4246,24.75,0.15643446504023098,-0.9876883405951377,0.0,1.0,0.6078431372549019,0.0196078431372549,0.0,0.49019607843137253,0.5294117647058824,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
83.0,9.0,10.0,10.0,cresh13,4.0,55.6185,68.0,45.0,23.5004,27.75,0.0871557427476582,-0.9961946980917455,0.0,1.0,0.6078431372549019,0.0196078431372549,0.0,0.49019607843137253,0.5294117647058824,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
93.0,10.0,11.0,10.0,cresh13,10.0,61.3389,44.0,53.0,26.2928,28.25,-0.05669278756337741,-0.9983916705573488,0.0,1.0,0.6078431372549019,0.0196078431372549,0.0,0.49019607843137253,0.5294117647058824,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
79.0,10.0,11.0,9.0,cresh13,10.0,59.7391,46.0,57.0,26.6635,27.5,-0.2881962681340892,-0.9575713608048144,0.0,1.0,0.6078431372549019,0.0196078431372549,0.0,0.49019607843137253,0.5294117647058824,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
70.0,9.0,11.0,9.0,cresh15,4.0,54.9518,74.0,46.0,23.8974,25.125,-0.30486429902801093,-0.9523957996432784,0.0,1.0,0.5945945945945946,0.10810810810810811,0.02702702702702703,0.5405405405405406,0.6756756756756757,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
70.0,10.0,10.0,11.0,cresh03,4.0,55.3192,65.0,47.0,24.0343,25.5,-0.38671096163682067,-0.9222009716704518,0.0,1.0,0.2,0.044444444444444446,0.5111111111111111,0.15555555555555556,0.044444444444444446,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
78.0,9.0,11.0,9.0,cresh15,4.0,55.1672,64.0,47.0,24.0343,28.5,-0.39073112848927355,-0.9205048534524404,0.0,1.0,0.5945945945945946,0.10810810810810811,0.02702702702702703,0.5405405405405406,0.6756756756756757,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
75.0,9.0,11.0,9.0,cresh15,4.0,54.5881,62.0,47.0,24.0795,28.75,-0.4067366430758002,-0.9135454576426009,0.0,1.0,0.5945945945945946,0.10810810810810811,0.02702702702702703,0.5405405405405406,0.6756756756756757,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
94.0,9.0,11.0,11.0,cresh14,1.0,76.3079,113.0,67.0,28.8704,31.125,-0.434445257404417,-0.900698239322588,0.0,1.0,0.04411764705882353,0.20588235294117646,0.0,0.058823529411764705,0.07352941176470588,0.0,0.4840764331210191,0.06369426751592357,0.10191082802547771,0.46496815286624205,0.445859872611465,0.0
84.0,10.0,10.0,11.0,cresh03,0.0,64.8257,158.0,42.0,23.3456,28.5,-0.43837114678907746,-0.8987940462991669,0.0,1.0,0.2,0.044444444444444446,0.5111111111111111,0.15555555555555556,0.044444444444444446,0.0,0.3333333333333333,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0
94.0,9.0,11.0,9.0,cresh14,1.0,85.0345,45.0,66.0,27.3889,30.5,-0.47331966718484325,-0.8808907382053857,0.0,1.0,0.04411764705882353,0.20588235294117646,0.0,0.058823529411764705,0.07352941176470588,0.0,0.4840764331210191,0.06369426751592357,0.10191082802547771,0.46496815286624205,0.445859872611465,0.0
75.0,9.0,11.0,11.0,cresh15,1.0,93.1674,25.0,68.0,25.6232,28.375,-0.5075383629607042,-0.8616291604415257,0.0,1.0,0.5945945945945946,0.10810810810810811,0.02702702702702703,0.5405405405405406,0.6756756756756757,0.0,0.4840764331210191,0.06369426751592357,0.10191082802547771,0.46496815286624205,0.445859872611465,0.0
87.0,9.0,11.0,11.0,cresh15,1.0,97.6505,30.0,69.0,24.527,28.5,-0.5771451900372335,-0.816641555161679,0.0,1.0,0.5945945945945946,0.10810810810810811,0.02702702702702703,0.5405405405405406,0.6756756756756757,0.0,0.4840764331210191,0.06369426751592357,0.10191082802547771,0.46496815286624205,0.445859872611465,0.0
109.0,10.0,10.0,10.0,cresh11,4.0,57.3777,60.0,44.0,24.0343,24.75,-0.6327053285625159,-0.7743926440821857,0.0,1.0,0.34146341463414637,0.024390243902439025,0.4878048780487805,0.024390243902439025,0.04878048780487805,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
69.0,10.0,10.0,10.0,cresh05,4.0,57.3278,61.0,46.0,24.0206,24.0,-0.636078220277764,-0.77162458338772,0.0,1.0,0.2692307692307692,0.038461538461538464,0.038461538461538464,0.057692307692307696,0.0,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
85.0,9.0,11.0,10.0,cresh13,1.0,96.3414,41.0,65.0,24.5407,28.375,-0.6560590289905072,-0.7547095802227721,0.0,1.0,0.6078431372549019,0.0196078431372549,0.0,0.49019607843137253,0.5294117647058824,0.0,0.4840764331210191,0.06369426751592357,0.10191082802547771,0.46496815286624205,0.445859872611465,0.0
122.0,10.0,10.0,10.0,cresh11,4.0,56.6161,60.0,47.0,23.9869,28.5,-0.6626200482157376,-0.7489557207890021,0.0,1.0,0.34146341463414637,0.024390243902439025,0.4878048780487805,0.024390243902439025,0.04878048780487805,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
71.0,10.0,10.0,10.0,cresh01,4.0,56.3777,60.0,45.0,23.9585,26.875,-0.6691306063588582,-0.7431448254773942,0.0,1.0,0.09433962264150944,0.1509433962264151,0.05660377358490566,0.3018867924528302,0.09433962264150944,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
92.0,10.0,10.0,10.0,cresh05,4.0,56.2877,61.0,46.0,23.9279,24.0,-0.6723668074346679,-0.7402181274868322,0.0,1.0,0.2692307692307692,0.038461538461538464,0.038461538461538464,0.057692307692307696,0.0,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
73.0,10.0,10.0,10.0,cresh04,4.0,55.7816,60.0,45.0,23.8974,28.375,-0.7101853756232854,-0.7040147244559684,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
80.0,10.0,10.0,11.0,cresh11,4.0,55.2463,60.0,46.0,23.9416,27.5,-0.7253743710122875,-0.688354575693754,0.0,1.0,0.34146341463414637,0.024390243902439025,0.4878048780487805,0.024390243902439025,0.04878048780487805,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
83.0,9.0,11.0,10.0,cresh13,3.0,67.79899999999999,22.0,46.0,25.8201,28.5,-0.7518398074789773,-0.6593458151000691,0.0,1.0,0.6078431372549019,0.0196078431372549,0.0,0.49019607843137253,0.5294117647058824,0.0,0.21428571428571427,0.0,0.03571428571428571,0.39285714285714285,0.10714285714285714,0.0
75.0,10.0,10.0,11.0,cresh01,4.0,55.2353,62.0,45.0,23.751,28.125,-0.7518398074789773,-0.6593458151000691,0.0,1.0,0.09433962264150944,0.1509433962264151,0.05660377358490566,0.3018867924528302,0.09433962264150944,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
91.0,9.0,10.0,11.0,cresh06,4.0,55.5285,60.0,46.0,23.4551,25.125,-0.8090169943749473,-0.5877852522924732,0.0,1.0,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
82.0,9.0,10.0,10.0,cresh06,4.0,56.0638,63.0,44.0,23.4836,26.5,-0.838670567945424,-0.544639035015027,0.0,1.0,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
66.0,10.0,10.0,9.0,cresh01,7.0,62.3171,283.0,52.0,26.9783,28.375,-0.8849876374630418,-0.4656145203251116,0.0,1.0,0.09433962264150944,0.1509433962264151,0.05660377358490566,0.3018867924528302,0.09433962264150944,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0
61.0,9.0,10.0,9.0,cresh01,7.0,61.9886,200.0,49.0,27.1278,28.125,-0.9117620435770883,-0.4107188526134777,0.0,1.0,0.09433962264150944,0.1509433962264151,0.05660377358490566,0.3018867924528302,0.09433962264150944,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0
79.0,10.0,11.0,10.0,cresh13,10.0,61.0603,80.0,48.0,26.5592,29.0,-0.913545457642601,-0.4067366430758001,0.0,1.0,0.6078431372549019,0.0196078431372549,0.0,0.49019607843137253,0.5294117647058824,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
54.0,10.0,10.0,9.0,cresh01,7.0,62.2903,241.0,48.0,27.052,28.125,-0.938191335922484,-0.34611705707749335,0.0,1.0,0.09433962264150944,0.1509433962264151,0.05660377358490566,0.3018867924528302,0.09433962264150944,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0
82.0,9.0,11.0,11.0,cresh13,10.0,60.9861,81.0,54.0,26.5761,29.375,-0.958819734868193,-0.28401534470392265,0.0,1.0,0.6078431372549019,0.0196078431372549,0.0,0.49019607843137253,0.5294117647058824,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
55.0,10.0,10.0,10.0,cresh01,7.0,61.8402,419.0,49.0,27.1415,28.125,-0.958819734868193,-0.28401534470392265,0.0,1.0,0.09433962264150944,0.1509433962264151,0.05660377358490566,0.3018867924528302,0.09433962264150944,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0
86.0,9.0,11.0,11.0,cresh13,10.0,60.716,80.0,55.0,26.6803,29.875,-0.9753423205085128,-0.22069743502150077,0.0,1.0,0.6078431372549019,0.0196078431372549,0.0,0.49019607843137253,0.5294117647058824,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
92.0,9.0,11.0,11.0,cresh13,10.0,60.6418,74.0,55.0,26.6635,28.875,-0.9953961983671787,-0.09584575252022441,0.0,1.0,0.6078431372549019,0.0196078431372549,0.0,0.49019607843137253,0.5294117647058824,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
75.0,10.0,10.0,10.0,cresh14,11.0,81.4314,17.0,48.0,28.1658,29.0,-0.9953961983671789,0.09584575252022405,0.0,1.0,0.04411764705882353,0.20588235294117646,0.0,0.058823529411764705,0.07352941176470588,0.0,0.13793103448275862,0.13793103448275862,0.05172413793103448,0.034482758620689655,0.034482758620689655,0.0
90.0,9.0,11.0,11.0,cresh13,10.0,60.1868,62.0,46.0,26.3971,29.5,-0.9411760152563707,0.3379167180033267,0.0,1.0,0.6078431372549019,0.0196078431372549,0.0,0.49019607843137253,0.5294117647058824,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
95.0,10.0,10.0,9.0,cresh14,10.0,60.1868,62.0,46.0,26.3971,28.125,-0.9396926207859083,0.34202014332566905,0.0,1.0,0.04411764705882353,0.20588235294117646,0.0,0.058823529411764705,0.07352941176470588,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
71.0,9.0,11.0,10.0,cresh13,10.0,60.07,62.0,47.0,26.3655,28.125,-0.9081431738250815,0.41865973753742775,0.0,1.0,0.6078431372549019,0.0196078431372549,0.0,0.49019607843137253,0.5294117647058824,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
76.0,9.0,11.0,11.0,cresh13,10.0,61.6273,60.0,54.0,26.3971,28.125,-0.8265897491271887,0.5628049276950685,0.0,1.0,0.6078431372549019,0.0196078431372549,0.0,0.49019607843137253,0.5294117647058824,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
88.0,9.0,11.0,11.0,cresh13,10.0,70.4488,62.0,56.0,27.4647,30.5,-0.47715876025960874,0.8788171126619652,0.0,1.0,0.6078431372549019,0.0196078431372549,0.0,0.49019607843137253,0.5294117647058824,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
75.0,10.0,10.0,10.0,cresh06,11.0,83.1548,1294.0,47.0,27.0748,28.125,0.5446390350150273,-0.8386705679454239,0.7818314824680297,0.6234898018587336,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.13793103448275862,0.13793103448275862,0.05172413793103448,0.034482758620689655,0.034482758620689655,0.0
73.0,11.0,10.0,10.0,cresh11,7.0,63.3706,158.0,51.0,26.6245,29.5,0.17794354547384184,-0.9840406976462909,0.7818314824680297,0.6234898018587336,0.34146341463414637,0.024390243902439025,0.4878048780487805,0.024390243902439025,0.04878048780487805,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0
69.0,9.0,10.0,10.0,cresh01,1.0,86.1537,176.0,63.0,26.7224,29.375,0.12186934340514755,-0.992546151641322,0.7818314824680297,0.6234898018587336,0.09433962264150944,0.1509433962264151,0.05660377358490566,0.3018867924528302,0.09433962264150944,0.0,0.4840764331210191,0.06369426751592357,0.10191082802547771,0.46496815286624205,0.445859872611465,0.0
106.0,10.0,11.0,11.0,cresh11,1.0,86.1537,176.0,63.0,26.7224,29.375,0.12186934340514755,-0.992546151641322,0.7818314824680297,0.6234898018587336,0.34146341463414637,0.024390243902439025,0.4878048780487805,0.024390243902439025,0.04878048780487805,0.0,0.4840764331210191,0.06369426751592357,0.10191082802547771,0.46496815286624205,0.445859872611465,0.0
69.0,10.0,10.0,11.0,cresh15,0.0,55.1222,188.0,42.0,24.7429,27.625,0.09150161866340258,-0.9958049275746617,0.7818314824680297,0.6234898018587336,0.5945945945945946,0.10810810810810811,0.02702702702702703,0.5405405405405406,0.6756756756756757,0.0,0.3333333333333333,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0
86.0,9.0,10.0,10.0,cresh14,10.0,60.8328,92.0,48.0,26.3234,29.0,0.07845909572784507,-0.996917333733128,0.7818314824680297,0.6234898018587336,0.04411764705882353,0.20588235294117646,0.0,0.058823529411764705,0.07352941176470588,0.0,0.25892857142857145,0.10714285714285714,0.03571428571428571,0.20535714285714285,0.2857142857142857,0.0
64.0,9.0,10.0,10.0,cresh01,1.0,83.3872,203.0,65.0,27.2426,29.5,0.05669278756337766,-0.9983916705573488,0.7818314824680297,0.6234898018587336,0.09433962264150944,0.1509433962264151,0.05660377358490566,0.3018867924528302,0.09433962264150944,0.0,0.4840764331210191,0.06369426751592357,0.10191082802547771,0.46496815286624205,0.445859872611465,0.0
100.0,11.0,11.0,11.0,cresh11,1.0,83.7278,195.0,68.0,27.6111,29.75,0.03489949670250114,-0.9993908270190958,0.7818314824680297,0.6234898018587336,0.34146341463414637,0.024390243902439025,0.4878048780487805,0.024390243902439025,0.04878048780487805,0.0,0.4840764331210191,0.06369426751592357,0.10191082802547771,0.46496815286624205,0.445859872611465,0.0
70.0,10.0,10.0,10.0,cresh06,4.0,53.5041,70.0,45.0,24.5797,28.375,0.017452406437283435,-0.9998476951563913,0.7818314824680297,0.6234898018587336,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
70.0,10.0,10.0,10.0,cresh06,4.0,53.3532,70.0,45.0,24.625,28.0,0.017452406437283435,-0.9998476951563913,0.7818314824680297,0.6234898018587336,0.09836065573770492,0.4672131147540984,0.0,0.10655737704918032,0.08196721311475409,0.0,0.17894736842105263,0.3105263157894737,0.015789473684210527,0.08947368421052632,0.09473684210526316,0.0
