heartRate_cozie,light_cozie,noise_cozie,user_id,room,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,user_grouped_cooler,user_grouped_warmer,user_grouped_dimmer,user_grouped_brighter,user_grouped_quieter,user_grouped_louder,room_grouped_cooler,room_grouped_warmer,room_grouped_dimmer,room_grouped_brighter,room_grouped_quieter,room_grouped_louder,thermal_cozie
70.0,10.0,10.0,cresh22,4.0,53.3569,60.0,46.0,24.3754,28.625,0.2756373558169992,-0.9612616959383188,0.7818314824680297,0.6234898018587336,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,9.0
112.0,10.0,10.0,cresh22,7.0,58.2354,174.0,48.0,27.7206,29.375,0.2376858923261729,-0.9713420698132614,0.7818314824680297,0.6234898018587336,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,10.0
59.0,10.0,10.0,cresh22,7.0,57.7342,186.0,51.0,27.7522,28.125,0.04361938736533608,-0.9990482215818578,0.7818314824680297,0.6234898018587336,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,9.0
63.0,10.0,10.0,cresh22,7.0,57.5115,195.0,48.0,27.7796,28.125,-0.052335956242943564,-0.9986295347545738,0.7818314824680297,0.6234898018587336,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,9.0
66.0,10.0,11.0,cresh22,2.0,66.407,100.0,69.0,29.3663,30.25,-0.19080899537654475,-0.9816271834476641,0.7818314824680297,0.6234898018587336,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.273972602739726,0.0,0.0273972602739726,0.3561643835616438,0.2465753424657534,0.0,10.0
77.0,10.0,11.0,cresh22,2.0,63.3003,96.0,68.0,29.2463,30.75,-0.2714404498650744,-0.9624552364536472,0.7818314824680297,0.6234898018587336,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.273972602739726,0.0,0.0273972602739726,0.3561643835616438,0.2465753424657534,0.0,11.0
81.0,9.0,11.0,cresh22,1.0,73.1557,175.0,66.0,30.2087,31.5,-0.7163019434246541,-0.6977904598416802,0.9749279121818236,-0.22252093395631434,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.4840764331210191,0.06369426751592358,0.10191082802547773,0.4649681528662421,0.445859872611465,0.0,11.0
84.0,10.0,10.0,cresh22,1.0,81.7764,237.0,66.0,28.3082,29.875,-0.030538513209822413,-0.999533590836713,0.43388373911755823,-0.9009688679024191,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.4840764331210191,0.06369426751592358,0.10191082802547773,0.4649681528662421,0.445859872611465,0.0,11.0
88.0,10.0,10.0,cresh22,1.0,81.3604,236.0,65.0,28.9473,31.0,-0.15212338618991686,-0.9883615104677608,0.43388373911755823,-0.9009688679024191,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.4840764331210191,0.06369426751592358,0.10191082802547773,0.4649681528662421,0.445859872611465,0.0,10.0
73.0,9.0,10.0,cresh22,7.0,59.6832,172.0,51.0,27.4258,28.875,-0.26303121445797456,-0.9647873238288129,0.43388373911755823,-0.9009688679024191,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,9.0
70.0,10.0,10.0,cresh22,7.0,59.7002,158.0,50.0,27.5574,28.75,-0.3173046564050919,-0.9483236552061994,0.43388373911755823,-0.9009688679024191,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,9.0
67.0,9.0,10.0,cresh22,7.0,59.1041,253.0,49.0,27.4563,28.75,-0.5187732581605216,-0.8549118706729465,0.43388373911755823,-0.9009688679024191,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,9.0
68.0,9.0,10.0,cresh22,7.0,58.2707,96.0,50.0,27.5743,28.625,-0.5842496656374345,-0.8115739819650122,0.43388373911755823,-0.9009688679024191,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,9.0
71.0,10.0,10.0,cresh22,7.0,59.5238,200.0,48.0,27.4258,28.75,-0.9978589232386036,-0.06540312923014273,0.43388373911755823,-0.9009688679024191,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,11.0
63.0,9.0,10.0,cresh22,7.0,59.5554,197.0,52.0,27.3521,28.75,-0.9999143275740071,-0.013089595571344698,0.43388373911755823,-0.9009688679024191,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.2128146453089245,0.12814645308924486,0.14416475972540047,0.10297482837528604,0.10297482837528604,0.0,11.0
64.0,10.0,10.0,cresh22,1.0,77.7957,179.0,66.0,29.3316,28.375,0.02617694830787342,-0.9996573249755571,0.0,1.0,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.4840764331210191,0.06369426751592358,0.10191082802547773,0.4649681528662421,0.445859872611465,0.0,9.0
72.0,10.0,10.0,cresh22,14.0,83.3891,48.0,51.0,24.9857,28.125,-0.08715574274765794,-0.9961946980917455,0.9749279121818236,-0.22252093395631434,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
66.0,10.0,10.0,cresh22,14.0,80.0315,49.0,53.0,25.1744,28.375,-0.21643961393810296,-0.9762960071199334,0.9749279121818236,-0.22252093395631434,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
64.0,10.0,10.0,cresh22,14.0,83.8815,49.0,45.0,25.6897,28.375,-0.2798290140309921,-0.9600498543859288,0.9749279121818236,-0.22252093395631434,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
68.0,10.0,10.0,cresh22,14.0,78.6684,48.0,47.0,25.5729,28.25,-0.5187732581605216,-0.8549118706729465,0.9749279121818236,-0.22252093395631434,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
70.0,10.0,10.0,cresh22,14.0,80.1837,48.0,56.0,25.7763,28.125,-0.7223639620597555,-0.6915130557822695,0.9749279121818236,-0.22252093395631434,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
